"classe","region","nb_index","regiao_agrupada"
"A-phased","Promotor",5,"Promotor"
"A-phased","Promotor",5,"Promotor"
"A-phased","Promotor",9,"Promotor"
"A-phased","5' UTR",1,"5' UTR"
"A-phased","80%",12,"Corpo do gene"
"A-phased","60%",11,"Corpo do gene"
"A-phased","60%",2,"Corpo do gene"
"A-phased","10%",3,"Corpo do gene"
"A-phased","20%",3,"Corpo do gene"
"A-phased","40%",6,"Corpo do gene"
"A-phased","20%",10,"Corpo do gene"
"A-phased","30%",10,"Corpo do gene"
"A-phased","70%",7,"Corpo do gene"
"A-phased","100%",8,"Corpo do gene"
"A-phased","80%",15,"Corpo do gene"
"A-phased","50%",17,"Corpo do gene"
"A-phased","60%",14,"Corpo do gene"
"Cruciform","Promotor",5341,"Promotor"
"Cruciform","Promotor",5342,"Promotor"
"Cruciform","Promotor",5343,"Promotor"
"Cruciform","Promotor",5342,"Promotor"
"Cruciform","Promotor",5343,"Promotor"
"Cruciform","Promotor",5344,"Promotor"
"Cruciform","Promotor",5367,"Promotor"
"Cruciform","Promotor",5505,"Promotor"
"Cruciform","Promotor",5506,"Promotor"
"Cruciform","Promotor",5519,"Promotor"
"Cruciform","Promotor",5546,"Promotor"
"Cruciform","Promotor",5644,"Promotor"
"Cruciform","Promotor",5721,"Promotor"
"Cruciform","Promotor",16,"Promotor"
"Cruciform","Promotor",24,"Promotor"
"Cruciform","Promotor",24,"Promotor"
"Cruciform","Promotor",24,"Promotor"
"Cruciform","Promotor",59,"Promotor"
"Cruciform","Promotor",59,"Promotor"
"Cruciform","Promotor",60,"Promotor"
"Cruciform","Promotor",62,"Promotor"
"Cruciform","Promotor",63,"Promotor"
"Cruciform","Promotor",72,"Promotor"
"Cruciform","Promotor",94,"Promotor"
"Cruciform","Promotor",95,"Promotor"
"Cruciform","Promotor",96,"Promotor"
"Cruciform","Promotor",95,"Promotor"
"Cruciform","Promotor",96,"Promotor"
"Cruciform","Promotor",97,"Promotor"
"Cruciform","Promotor",108,"Promotor"
"Cruciform","Promotor",129,"Promotor"
"Cruciform","Promotor",136,"Promotor"
"Cruciform","Promotor",137,"Promotor"
"Cruciform","Promotor",140,"Promotor"
"Cruciform","Promotor",144,"Promotor"
"Cruciform","Promotor",163,"Promotor"
"Cruciform","Promotor",200,"Promotor"
"Cruciform","Promotor",201,"Promotor"
"Cruciform","Promotor",202,"Promotor"
"Cruciform","Promotor",204,"Promotor"
"Cruciform","Promotor",205,"Promotor"
"Cruciform","Promotor",223,"Promotor"
"Cruciform","Promotor",230,"Promotor"
"Cruciform","Promotor",229,"Promotor"
"Cruciform","Promotor",237,"Promotor"
"Cruciform","Promotor",236,"Promotor"
"Cruciform","Promotor",237,"Promotor"
"Cruciform","Promotor",243,"Promotor"
"Cruciform","Promotor",248,"Promotor"
"Cruciform","Promotor",249,"Promotor"
"Cruciform","Promotor",250,"Promotor"
"Cruciform","Promotor",248,"Promotor"
"Cruciform","Promotor",249,"Promotor"
"Cruciform","Promotor",250,"Promotor"
"Cruciform","Promotor",280,"Promotor"
"Cruciform","Promotor",302,"Promotor"
"Cruciform","Promotor",308,"Promotor"
"Cruciform","Promotor",312,"Promotor"
