"classe","region","nb_index"
"A-phased","Promotor",5
"A-phased","Promotor",5
"A-phased","Promotor",9
"A-phased","5' UTR",1
"A-phased","80%",12
"A-phased","60%",11
"A-phased","60%",2
"A-phased","10%",3
"A-phased","20%",3
"A-phased","40%",6
"A-phased","20%",10
"A-phased","30%",10
"A-phased","70%",7
"A-phased","100%",8
"A-phased","80%",15
"A-phased","50%",17
"A-phased","60%",14
"G-quadruplex","Promotor",1
"G-quadruplex","Promotor",6
"G-quadruplex","Promotor",10
"G-quadruplex","Promotor",16
"G-quadruplex","Promotor",33
"G-quadruplex","5' UTR",34
"G-quadruplex","90%",35
"G-quadruplex","100%",36
"G-quadruplex","20%",1
"G-quadruplex","40%",2
"G-quadruplex","80%",3
"G-quadruplex","40%",6
"G-quadruplex","50%",6
"G-quadruplex","10%",8
"G-quadruplex","40%",13
"G-quadruplex","50%",13
"G-quadruplex","20%",14
"G-quadruplex","40%",18
"G-quadruplex","90%",23
"G-quadruplex","60%",25
"G-quadruplex","90%",26
"G-quadruplex","60%",27
"G-quadruplex","10%",29
"G-quadruplex","20%",30
"G-quadruplex","100%",31
"G-quadruplex","80%",32
"G-quadruplex","10%",33
"G-quadruplex","90%",4
"G-quadruplex","100%",4
"G-quadruplex","80%",5
"G-quadruplex","60%",7
"G-quadruplex","60%",9
"G-quadruplex","70%",9
"G-quadruplex","10%",10
"G-quadruplex","70%",11
"G-quadruplex","80%",11
"G-quadruplex","80%",15
"G-quadruplex","90%",15
"G-quadruplex","100%",15
"G-quadruplex","30%",17
"G-quadruplex","10%",19
"G-quadruplex","10%",20
"G-quadruplex","10%",21
"G-quadruplex","40%",22
"G-quadruplex","20%",24
"G-quadruplex","30%",24
"G-quadruplex","40%",28
"G-quadruplex","10%",31
"G-quadruplex","90%",38
"G-quadruplex","100%",39
"Cruciform","Promotor",6625
"Cruciform","Promotor",6626
"Cruciform","Promotor",6627
"Cruciform","Promotor",6626
"Cruciform","Promotor",6627
"Cruciform","Promotor",6628
"Cruciform","Promotor",6653
"Cruciform","Promotor",6838
"Cruciform","Promotor",6839
"Cruciform","Promotor",6853
"Cruciform","Promotor",6891
"Cruciform","Promotor",7015
