"Anchor_seq","Anchor_start","Anchor_end","Cruciform_seq","Cruciform_start","Cruciform_end","Distancia_kb"
"NC_002607.1",0,233,"NC_002607.1",21,40,0
"NC_002607.1",233,273,"NC_002607.1",21,40,0.192
"NC_002607.1",273,330,"NC_002607.1",21,40,0.232
"NC_002607.1",330,345,"NC_002607.1",576,591,0.23
"NC_002607.1",345,447,"NC_002607.1",576,591,0.128
"NC_002607.1",447,585,"NC_002607.1",576,591,0
"NC_002607.1",585,626,"NC_002607.1",576,591,0
"NC_002607.1",626,780,"NC_002607.1",576,591,0.034
"NC_002607.1",780,1316,"NC_002607.1",1044,1056,0
"NC_002607.1",1316,1493,"NC_002607.1",1044,1056,0.259
"NC_002607.1",1493,1574,"NC_002607.1",1806,1819,0.231
"NC_002607.1",1574,1580,"NC_002607.1",1806,1819,0.225
"NC_002607.1",1580,1664,"NC_002607.1",1806,1819,0.141
"NC_002607.1",1664,1864,"NC_002607.1",1806,1819,0
"NC_002607.1",1864,1877,"NC_002607.1",1806,1819,0.044
"NC_002607.1",1877,1976,"NC_002607.1",1806,1819,0.057
"NC_002607.1",1976,2311,"NC_002607.1",1806,1819,0.156
"NC_002607.1",2311,2606,"NC_002607.1",2641,2656,0.034
"NC_002607.1",2606,2741,"NC_002607.1",2641,2656,0
"NC_002607.1",2741,2810,"NC_002607.1",2765,2777,0
"NC_002607.1",2810,3204,"NC_002607.1",2994,3006,0
"NC_002607.1",3204,3367,"NC_002607.1",2994,3006,0.197
"NC_002607.1",3367,3452,"NC_002607.1",2994,3006,0.36
"NC_002607.1",3452,3497,"NC_002607.1",2994,3006,0.445
"NC_002607.1",3553,3705,"NC_002607.1",2994,3006,0.546
"NC_002607.1",3705,3710,"NC_002607.1",2994,3006,0.698
"NC_002607.1",3710,3750,"NC_002607.1",2994,3006,0.703
"NC_002607.1",3750,3785,"NC_002607.1",4505,4517,0.719
"NC_002607.1",3785,3802,"NC_002607.1",4505,4517,0.702
"NC_002607.1",3802,3978,"NC_002607.1",4505,4517,0.526
"NC_002607.1",3978,4032,"NC_002607.1",4505,4517,0.472
"NC_002607.1",4032,4117,"NC_002607.1",4505,4517,0.387
"NC_002607.1",4117,4124,"NC_002607.1",4505,4517,0.38
"NC_002607.1",4124,4148,"NC_002607.1",4505,4517,0.356
"NC_002607.1",4148,4334,"NC_002607.1",4505,4517,0.17
"NC_002607.1",4334,4355,"NC_002607.1",4505,4517,0.149
"NC_002607.1",4355,4412,"NC_002607.1",4505,4517,0.092
"NC_002607.1",4412,4448,"NC_002607.1",4505,4517,0.056
"NC_002607.1",4448,4652,"NC_002607.1",4505,4517,0
"NC_002607.1",4652,4757,"NC_002607.1",4526,4537,0.114
"NC_002607.1",4757,4811,"NC_002607.1",4925,4942,0.113
"NC_002607.1",4811,5136,"NC_002607.1",4925,4942,0
"NC_002607.1",5136,5151,"NC_002607.1",4925,4942,0.193
"NC_002607.1",5151,5174,"NC_002607.1",4925,4942,0.208
"NC_002607.1",5174,5239,"NC_002607.1",4925,4942,0.231
"NC_002607.1",5239,5256,"NC_002607.1",4925,4942,0.296
"NC_002607.1",5256,5318,"NC_002607.1",5603,5614,0.284
"NC_002607.1",5318,5416,"NC_002607.1",5603,5614,0.186
"NC_002607.1",5432,5486,"NC_002607.1",5603,5614,0.116
"NC_002607.1",5486,5561,"NC_002607.1",5603,5614,0.041
"NC_002607.1",5582,5602,"NC_002607.1",5603,5614,0
"NC_002607.1",5602,5676,"NC_002607.1",5603,5614,0
"NC_002607.1",5676,5753,"NC_002607.1",5603,5614,0.061
"NC_002607.1",5812,5847,"NC_002607.1",5993,6004,0.145
"NC_002607.1",5847,5885,"NC_002607.1",5993,6004,0.107
"NC_002607.1",5885,6040,"NC_002607.1",5993,6004,0
"NC_002607.1",6040,6140,"NC_002607.1",5993,6004,0.035
"NC_002607.1",6162,6286,"NC_002607.1",6199,6210,0
"NC_002607.1",6286,6384,"NC_002607.1",6375,6396,0
"NC_002607.1",6384,6500,"NC_002607.1",6375,6396,0
"NC_002607.1",6500,6544,"NC_002607.1",6375,6396,0.103
"NC_002607.1",6544,6658,"NC_002607.1",6375,6396,0.147
"NC_002607.1",6658,6672,"NC_002607.1",6884,6897,0.211
"NC_002607.1",6672,6840,"NC_002607.1",6884,6897,0.043
"NC_002607.1",6840,6855,"NC_002607.1",6884,6897,0.028
"NC_002607.1",6855,6904,"NC_002607.1",6884,6897,0
"NC_002607.1",6967,6997,"NC_002607.1",6884,6897,0.069
"NC_002607.1",6997,7309,"NC_002607.1",7290,7304,0
"NC_002607.1",7309,7339,"NC_002607.1",7290,7304,0.004
"NC_002607.1",7339,7354,"NC_002607.1",7290,7304,0.034
"NC_002607.1",7354,7491,"NC_002607.1",7477,7520,0
"NC_002607.1",7491,7542,"NC_002607.1",7477,7520,0
"NC_002607.1",7542,7808,"NC_002607.1",7564,7577,0
"NC_002607.1",7808,7867,"NC_002607.1",7740,7755,0.052
"NC_002607.1",7888,7921,"NC_002607.1",7740,7755,0.132
"NC_002607.1",7921,7937,"NC_002607.1",7740,7755,0.165
"NC_002607.1",7937,8000,"NC_002607.1",7740,7755,0.181
"NC_002607.1",8000,8093,"NC_002607.1",8309,8323,0.215
"NC_002607.1",8093,8133,"NC_002607.1",8309,8323,0.175
"NC_002607.1",8133,8170,"NC_002607.1",8309,8323,0.138
"NC_002607.1",8170,8471,"NC_002607.1",8309,8323,0
"NC_002607.1",8471,8560,"NC_002607.1",8592,8607,0.031
"NC_002607.1",8560,8579,"NC_002607.1",8592,8607,0.012
"NC_002607.1",8579,8749,"NC_002607.1",8592,8607,0
